state,city,branch,address,latitude,longitude
HARYANA,Barara,Barara,"Plot/ Situated At Khewat No 570 Khatoni No.779 Khasra No.34/17/2,18,22/1,24,25 Kita 06 Totally 38 Kanal, Barara, Dist-Ambala",30.22812414,77.05171419
HARYANA,Barwala,BARWALA,"SHOP Khasara no. 523, First Floor, Jai Bajarang Colony, Opposite LIC Office, Hansi road, Barwala, Tehsil Barwala, Dist. Hisar",29.359336,75.892765
HARYANA,Bhiwani,BHIWANI,"CROWN PLAZA, PLOT NO.-44, SHOP NO.-410, SECOND FLOOR, CIRCULAR ROAD, OLD BUS STAND, BHIWANI, DISTT.-BHIWANI",28.800228,76.140545
Haryana,Charkhi Dadri,Charkhi Dadri,"First Floor, Above ICICI Bank, Revenue Estate, Hari Nagar, Loharu road, Near Railway Station, Tehsil & District Charkhi Dadri",28.6004923,76.2728852
Haryana,Cheeka,Cheeka,"Khewat no.439 min, Muraba no. 53, Killa no. 5//2(2-2) 6(8-0) 15/1(4-9) ,Cheeka, Tehsil Guhla, Dist. Kaithal",30.0474,76.3333
HARYANA,Ellenabad,ELLENABAD,"FIRST FLOOR, JHORAR TOWER, OPP PWD REST HOUSE, NEAR BUS STAND, SIRSA ROAD, ELLENABAD, DIST-SIRSA",29.4419,74.672826
HARYANA,Fatehabad,FATEHABAD,"FIRST FLOOR, NEAR DCB BANK, OLD BUS STAND, GT ROAD, FATEHABAD, DIST-FATEHABAD",29.507051,75.463562
HARYANA,Gohana,Gohana,"Ground Floor, Shop No. 16-17, Gajraj Hospital Road, Near Bus Stand, Gohana Dist- Sonipat",29.132312,76.702062
HARYANA,Gurugram,GURUGRAM,"SCO-4, SECOND FLOOR, SITE NO.-41, 42 & 43, SECTOR-31-32-A, HUDA MARKET, GURGAON (GURUGRAM)",28.45396,77.051359
HARYANA,Hansi,HANSI,"FIRST FLOOR, MODEL TOWN, ABOVE ANKUSH BEEZ BHANDAR, DELHI-ROHTAK-HISAR ROAD, SHANTI NIKETAN COLONY, HANSI, DISTT.-HISAR",29.091544,75.97817
HARYANA,Hisar,HISAR,"Om Complex, Second Floor, Plot No. 2828, The Hisar Adarsh Shanti Niketan Cop. Society Ltd., Model Town extension, Tosham Road, Hisar",29.135789,75.745195
HARYANA,Jhajjar,Jhajjar,"First Floor, Plot No-Jjr/W01/904B, Ward No-01, Rohtak Road, Bhagat Singh Chowk, Jhajjar",28.611136,76.645609
Haryana,Jhajjar Arya Nagar,JHAJJAR ARYA NAGAR,"Khasra no. 1031, First Floor, In Opposite Omkar Hospital, Arya Nagar, Ward No. 19, Jhajjar-",28.611285,76.645578
