State,City,Branch,Address,Latitude,Longitude
Bihar,Patna,"Kankarbagh, Patna","Ground Floor- DS-20, Gayatri Mandir Road, Kankerbagh Colony, Patna, Bihar 800 020, Bihar",25.59896,85.15453
Bihar,Patna,"Ashiana Nagar, Patna","Ground Floor,10,Abhinav Apartments, Main Ashiana Digha Road,Near Passport Office,Ashiana Nagar,Patna,Bihar 800014, Bihar",25.62038,85.07979
Bihar,Patna,"Khazanchi Road, Patna","Ground Floor,Paras Bhawan,Khazanchi Road,Ward No 9,PO Bankipur,Patna,Bihar 800004, Bihar",25.61731,85.16251
Bihar,Patna,"Anishabad, Patna",Ground Floor Radhika Complex Ballambi Chowk more Khagul Road Anishabad Patna -800 002 Bihar,25.58381,85.09254
Bihar,Bhagalpur,Bhagalpur,"Ground Floor Triveni Apartments Dr. Rajaendra Prasad Road, Mohalla Khalifa Bagh Bhagalpur-812 002 Bihar",25.25,87
Bihar,Patna,"Patna City, Patna","Ground floor +First floor, Holding No. 110/115 and 111/116, Plot No. 764 & 765, Mohalla Kucha Ganesh Chowk, Ashok Raj Path, Patna City, Bihar, Bihar",25.59121,85.23514
Bihar,Muzaffarpur,Muzaffarpur,"Jawaharlal Road, Ward No-20, Choti Saraiyaganj, Muzaffarpur, Bihar. 842 001, Bihar",26.1258,85.3896
Bihar,Patna,Bihta,"Ground Floor Bihta Gadh Par, Bihta Gram Panchayat, P.O. and P S Bihta,Dist:  Patna,Bihar, Bihar",25.57332,84.87055
Bihar,Samastipur,Samastipur,"Ground Floor, Ruby Mansion, NH-103, Mohanpur Road Opp. BRB College, Samastipur- 848 101, Bihar",25.87342,85.78243
Bihar,Patna,"Saguna More, Patna","Ground Floor, Plot No 115, Surya BP Commercial Centre, Danapur,  Saguna More, Patna- 801 503, Bihar",25.62216,85.041119
Bihar,Gaya,Gaya,"Ground Floor, NANDAN NIKETAN, Nagmatia Road, Ward no. 4, plot no. 50, Dhurki Mohalla, Makhlautganj, Swarajpuri Road, Gaya -823001, Bihar",24.792949,85.000212
Bihar,Darbhanga,Darbhanga,"Ground Floor, Vikram Chamber, Mirzapur, PO & PS- Darbhanga -864004, Dist:  Darbhanga, Bihar",26.151015,85.898667
Bihar,Jehanabad,Jehanabad Bihar,"Ground  Floor, Rajeshwari Market Complex, Horilganj, Near Dardha bridge, Patna - Gaya Road, Jahanabad, BIHAR 804408",25.204032,84.993204
Bihar,Begusarai,Begusarai Bihar,"Ground Floor, Holding No.183,  Ward No. 15/22, Circle No. Begusarai,Radha Krishna Market, Patel Chowk, Begusarai, BIHAR 851211",25.417084,86.125716
Bihar,Bhojpur,Arrah Bihar,"GROUND  FLOOR, HOLDING NO.502, KARMAN TOLA, STATION ROAD, WARD -20, NEAR SHIV NARAYAN LAL PETROL PUMP, ARRAH, BHOJPUR, BIHAR 802301",25.55838,84.668509
Bihar,Saran,"Chhapra, Bihar","Ground Floor, Saran Complex,  Ward No. 18, Circle No. 16, Holding No. 737/717, situated at Dak Bunglow Road, Parganan: Manjhi,Chhapra, BIHAR 841301",25.779949,84.739735
Bihar,Gaya,"Bela, Bihar","Ground Floor, House of Mr.Ajay Kumar Chaurasia, Plot No. 1289,Village – Bela, PS- Bela Ganj, Dist:Gaya, BIHAR, 804403",24.968179,84.972809
Bihar,Patna,"Sampatchak, Patna","First Floor, House of Kapil Dev Singh Yadav, Sampatchak Bazar, Thana: Gopal Pur, Plot No.1482, Khata No. 300, PO: Sona Gopal, Dist : Patna Bihar- 800007",25.532131,85.176727
Bihar,Bhojpur,Jagdishpur,"Ground Floor, Lal Babu Complex, Near Thana Jagdishpur, Ward No.14 (New), Mohalla Jagdishpura, Holding No. 146, Dist; Bhojpur – 802158, Bihar",25.472943,84.424613
Bihar,Patna,"Pataliputra Colony, Patna","Ground Floor & First Floor, Thana No.02, Plot No. 157, Patliputra Colony, Patliputra, Pin code 800013, Patna, Bihar",25.628567,85.108302
Bihar,Patna,"Kanti Factory Road, Patna","Ground Floor (UGF), Plot No. 712, Kanti Factory Main Road, Mahatma Gandhi Nagar, Kankarbagh, Patna, Bihar, Pin- 800020",25.595108,85.168142
Bihar,Nalanda,Bihar Sharif,"Ground and First Floor, Holding No. 469, 470 & 471, Ranchi Road, Near LIC Building, Bihar Sharif, Dist: Nalanda, Bihar 803101",25.290504,85.52376
Bihar,Siwan,Siwan,"Ground Floor, Dwivedi Complex, Shastri Nagar, Plot No.1643 and 1645, Near Head Post Office, Mouza : Kagji, Paragana – Bara, PS: Siwan, Thana No.231, Siwan, District Siwan, Bihar Pin code 841226",26.225779,84.354835
Bihar,Patna,Frezer Road Patna,"Ground Floor, Sheohar Sadan, Frezer Road, Patna, Bihar, PIN: 800001",25.6128,85.1391
Bihar,Muzaffarpur,Brahamapura Muzaffarpur,"Ground Floor, ABC Tower, 2- Brahamapura Main Road, Muzaffarpur, Bihar, PIN: 842003",26.134233,85.365091
Bihar,Patna,Lohia Nagar Kankarbagh Patna,"Ground Floor, U-446, Lohia Nagar, Housing Colony, Kankarbagh, Patna, PIN: 800020, Bihar",25.593353,85.14883
Bihar,Purnia,Purnea,"Ground Floor, Drug House 1947, Beside Rajlakshmi Hotel, Bhatta Bazar, Kalibari Chowk, Purnea, Bihar, PIN: 854301",25.771307,87.476445
BIHAR,Rohtas,Sasaram,"OPP PRAKASH PETROL PUMP,OLD GT ROAD, SASARAM,ROHTAS - 821115  Bihar",24.954698,84.029626
BIHAR,Patna,"Gola Rd, Patna","Indusind Bank Limited, Ground Floor & First Floor, Opp Sidhi Vinayak Hospital, Gola Road, Plot no-12, Patna-801503 Bihar",25.6192639,85.0557589
Bihar,Nawada,Specialised Br Nawada,"No. 121, 2nd Floor, Above Sahara India Office, Rajendra Nagar, Near Bihar Bus Stand, Nawada, Bihar 805110",24.892223,85.541075
Bihar,Vaishali,Specialised Br Hajipur,"2nd Floor, Ramdeo Complex, Bearing Plot No.734, Dak Bunglow Road, Anwarpur, Hajipur, Vaishali, Bihar 844101",25.696848,85.213651
Bihar,Saharsa,Specialised Br Saharsa,"1st Floor, Khan Market, Purab Bazar, Hatia Gachi, Saharsa, Bihar 852201",25.876834,86.604826
Bihar,Motihari,Specialised Br Motihari,"1st Floor, Piyush Tower, Ward No. 38, Hawai,Chhota Bariyarpur, Chini Mill Road, Motihari 845401",26.634088,84.91019
Bihar,Gopalganj,Specialised Br Gopalganj,"1st Floor, Shahi Complex, Near Minj Stadium, Post office Road, Gopalganj, Bihar 841428",26.468309,84.440715
Bihar,Bettiah,Specialised Br Bettiah,"1st Floor, C/o Bhagwat Cement Store, Opposite Indian Bank, Supriya Road, Bettiah, West Champaran, Bihar 845438",26.804991,84.51743
Bihar,Darbhanga,Specialised Br Darbhnaga,"First Floor, Raj Complex, Station Mirjapur Road, Darbhanga, Bihar 846004",26.152982,85.903957
Bihar,Aurangabad,Specialised Br Aurangabad,"1st Floor, Raj Bhawan, Khata No 10, Plot No. 175, Tikari More, Near overbridge, NH - 2, In front of J.K. Motars, Aurangabad, Bihar 824101",24.743618,84.365714
Bihar,Sitamarhi,Specialised Br Sitamarhi,"2nd Floor, Plot No. 906, Ramjanki Palace,  Dumra Road, Rajopatti Near IB, Sitamarhi, Bihar 843302",26.583725,85.505795
Bihar,Rohtas,Specialised Br Sasaram,"1st Floor, Khata No. 40, Plot No. 346, Old G.T. Road,  Near Kannaudiya Petrol Pump, PO & PS Sasaram, Rohtas, Bihar 821115",24.954837,84.030456
Bihar,Madhubani,Specialised Br Madhubani,"1st Floor, Suratganj, Ward No. 15/17, Near Town Club Field, Madhubani, Bihar 847211",26.348683,86.073574
Bihar,Bhojpur,Specialised Br Arrah,"3rd Floor, Plot No. 277 & 278, Mauli Tower, K G Road, Mauli Kotthi, Above Bank of India, Bhojpur,  Arrah, Bihar 802301",25.561296,84.671328
Bihar,BHAGALPUR,Specialised Br BHAGALPUR,"1st  Floor, Ambika Sadan, Lalbagh Colony (Tilkamaanjhi),  Near Police Line, PO–PS Tilkamanjhi, Bhagalpur, Bihar 812001",25.252726,86.995957
BIHAR,Patna Rural,Kadamkuan,"INDUSIND BANK GROUND FLOOR, SHOP 1-2, RAJENDRA PATH, PLOT NO. 733-734, STATION ROAD, KADAMKUAN PATNA BIHAR 800003",25.6096381,85.148374
BIHAR,PATNA,Danapur,"GROUND FLOOR , CHHOTI MACHUA TOLI, MAIN ROAD, NEAR DAV HIGH SCHOOL, WARD NO-18 , DANAPUR PATNA 801502 BIHAR",25.638526,85.051189
Chandigarh,Chandigarh,Chandigarh,"S.C.O. No. 53-54, Sector 8-C, Madhya Marg Chandigarh - 160 018, Chandigarh",30.73854,76.79348
