State,City,Branch,Address,Latitude,Longitude,Pincode,api_pincode
Karnataka,HASSAN,HASSAN,"1st Floor, 579, Goda Krishna Mansion LLP, Municipal Khatha No. 579, A.R. No.556/579, Situated at North Layout, Hassan, Karnataka 573201",13.012704,76.099298,573201,
Karnataka,HAVERI,HAVERI,"2nd Floor, H.N. 3334/11B, Hanagalla Road, Haveri Town, Next to Indian Oil Petrol Bunk, Haveri, Karnataka 581128",14.7870193,75.3966178,581128,
Karnataka,HOSKOTE,HOSKOTE,"1st Floor, HCS Square, Kr Extention, Kr Road, No. 2218/1841/1616/1210, Next To Chemmanur Jewelers, Hoskote, Karnataka- 562114",13.1901044,77.4497466,562114,
Karnataka,Jaipur,HOSPET,"3rd Floor, 383 to 388, Virat Plaza, Shanbhag Circle, College Road, Hospet, Distt. Bellary, Karnataka 583201",15.2759011,76.3878164,583201,
Karnataka,HUBLI,HUBLI,"Shop No. 101 To 104, Wali Nirvana Trade Winds, CTS No. 123/45, Opp. Old KSRTC Depot/ Hosur Resional Bus Terminal, Vidyanagar, Hubli-Karnataka-580029",15.356627,75.1276696,580029,
Karnataka,Hunsur,HUNSUR,"FIRST FLOOR , PARVATAMMA BASAVARAJ COMPLEX OLD BM ROAD NEAR BUS STAND HUNSUR, KARNATAKA 571105",12.3115896,76.2921689,571105,
Karnataka,Jayanagar,JAYANAGAR,"2nd Floor, Sri Lakshmi Complex, No. 20, 9th Main Road, 5th Block, Jayanagar, Bengaluru, Karnataka - 560041",12.91997,77.58375,560041,
Karnataka,Kanakapura,Kanakapura,"Rice Mill, Second Floor, SHIVA SQUARE, BUSSTOP BENGALURU ROAD, ARCH, kallahalli, Kanakapura, Karnataka 562117",12.567733,77.427014,562117,
Karnataka,BENGALURU,KENGERI,"2ND FLOOR, #16 SHRUSHTI, 80 FT RING ROAD, RR LAYOUT, OPP. SHIVSHAKTI HOSPITAL, NAGADEVANHALLI, KENGERI, BENGALURU, KARNATAKA 560056",12.940437,77.4935015,560056,
Karnataka,KOLAR,KOLAR,"1ST FLOOR. BANGARPET ROAD, TGB COMPLEX, BLOCK 02, WARD NO. 05, KANAKANA PALYA, BEHIND SNR HOSPITAL, KOLAR , KARNATAKA - 563101",12.99284424,78.17650934,563101,
Karnataka,KUNIGAL,KUNIGAL,"1st Floor, Opposite Suzuki Bike Showroom, Beside Ravinder Toyota, KRS Agrahara, BM Road, Kunigal, Distt. Tumkur, Karnataka 572130",13.0219836,77.0171348,572130,
Karnataka,MADDUR,MADDUR,"2nd Floor, Plot No. 15, 1-3-107, Bazar Street, Near Mahaveer Talkies, Maddur, Karnataka 571428",12.5922865,77.0518051,571428,
Karnataka,Mysore,MYSORE,"2924, Basava Arcade, 1st Floor, 1st Main & 5th Cross Road, Saraswathipuram, Mysore-570009, Karnataka",12.30108,76.63413,570009,
Karnataka,NELAMANGALA,NELAMANGALA,"First Floor, Plot NO. 2663/1906, Muttaiah Layout Nelamangala Taluk, Nelamangala Town, Bengaluru, Nelamangala Town, Karnataka 562123",13.097827,77.3996412,562123,
Karnataka,RAICHUR,RAICHUR,"Ground Floor, BT COMPLEX, OFFICE NO.2, ASHAPURA ROAD, BEHIND APPOLLO PHARMACY, RAICHUR, KARNATAKA-584101",16.1850477,77.3407192,584101,
Karnataka,RAMANAGARA,RAMANAGARA,"1st Floor , SITE NO 23, SHIVASIRI RAJESHWARI LAYOUT, CHENNAMANAHALLI, RAMANAGARA, KARNATAKA- 562159",12.7111277,77.2732498,562159,
Karnataka,BENGALURU,SARJAPUR ROAD BANGALORE,"2ND FLOOR, NIRANJAN ARCADE, ABOVE KIA MOTORS, SARJAPURA ROAD, BENGALURU-562125, KARNATAKA",12.8870198,77.7425308,562125,
Karnataka,SHIMOGA,SHIMOGA,"2nd Floor, War No. 28, Maruthi FS Arcade, Near Bus Stand, Ameer Ahmed Circle, B H Road, Shimoga, Shimoga, Karnataka 577201",13.9299127,75.5691916,577201,
Karnataka,TIPTUR,TIPTUR,"2nd Floor, NO 12/1, Vinayakanagar, Near Janatha Deluxe Lodge, Tiptur Town, Distt. Tumkur, Karnataka 572201",13.2603726,76.4700179,572201,
Karnataka,Tumkur,TUMKUR,"2nd Floor, Mahalakshmi Central, B.H. Road, Ashok Nagar, Tumkur - Karnataka - 572103",13.33555,77.12086,572103,
Karnataka,Bijapur,VIJAYPUR,"FIRST FLOOR, USTAD COMPLEX, BAGALKOT ROAD, OPP. DISTRICT COURT, NAVRASPUR COLONY- BIJAPUR / VIJAYPUR, KARNATAKA",16.8104998,75.7174494,,586109
Karnataka,Yelahanka,YELAHANKA,"1st Floor, BRS Complex, No.7. MIG, 4th Phase, 1st Main Road, Yalahanka, New Town, Bengaluru - Karnataka 560064",13.10313,77.57695,560064,
Madhya Pradesh,Agar-malwa,AGAR MALWA,"Office No. 1, 1st Floor, Mali Khedi road, above ICICI Bank ,Near Dr. K C Goyal, New Bus Stand, Agar, MP -465441",23.71449,76.004864,465441,
Madhya Pradesh,Alot,ALOT,"1st floor,Dhakad Trade Center, Above AU small bank, Kargil Chouraha ,Station Road ,Alot, M.P.- 457114",23.767391,75.543391,457114,
